"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","Coupler Attached (LGR S/N: 10592079, SEN S/N: 10592079)","Host Connected (LGR S/N: 10592079, SEN S/N: 10592079)","Stopped (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
252,11/21/18 11:20:57 AM,,0.87,,,,,
253,11/21/18 11:21:56 AM,,0.88,,,,,
254,11/21/18 11:23:26 AM,,0.89,,,,,
255,11/21/18 11:24:45 AM,,0.90,,,,,
256,11/21/18 11:27:15 AM,,0.91,,,,,
257,11/21/18 11:28:42 AM,,0.92,,,,,
258,11/21/18 11:30:07 AM,,0.93,,,,,
259,11/21/18 11:30:48 AM,,0.94,,,,,
260,11/21/18 11:32:53 AM,,0.95,,,,,
261,11/21/18 11:35:32 AM,,0.96,,,,,
262,11/21/18 11:44:20 AM,,0.97,,,,,
263,11/21/18 11:47:34 AM,,0.98,,,,,
264,11/21/18 11:49:40 AM,,0.99,,,,,
265,11/21/18 11:50:53 AM,,1.00,,,,,
266,11/21/18 11:53:37 AM,,1.01,,,,,
267,11/21/18 12:02:06 PM,,1.02,,,,,
268,11/21/18 12:07:31 PM,54.669,,,,,,
269,11/21/18 12:13:29 PM,,1.03,,,,,
270,11/21/18 12:26:19 PM,,1.04,,,,,
271,11/21/18 12:28:03 PM,,1.05,,,,,
272,11/21/18 12:29:25 PM,,1.06,,,,,
273,11/21/18 12:30:31 PM,,1.07,,,,,
274,11/21/18 12:31:07 PM,,1.08,,,,,
275,11/21/18 12:32:40 PM,,1.09,,,,,
276,11/21/18 12:33:38 PM,,1.10,,,,,
277,11/21/18 12:35:04 PM,,1.11,,,,,
278,11/21/18 12:35:57 PM,,1.12,,,,,
279,11/21/18 12:37:00 PM,,1.13,,,,,
