"Plot Title: HS"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Detached (LGR S/N: 9668992, SEN S/N: 9668992)","Coupler Attached (LGR S/N: 9668992, SEN S/N: 9668992)","Stopped (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
313,01/01/11 04:29:39 AM,3.11,,,,
314,01/01/11 04:34:12 AM,3.12,,,,
315,01/01/11 04:42:05 AM,3.13,,,,
316,01/01/11 04:48:56 AM,3.14,,,,
317,01/01/11 04:51:53 AM,3.15,,,,
318,01/01/11 04:57:26 AM,3.16,,,,
319,01/01/11 05:03:19 AM,3.17,,,,
320,01/01/11 05:09:35 AM,3.18,,,,
321,01/01/11 05:15:19 AM,3.19,,,,
322,01/01/11 05:20:59 AM,3.20,,,,
323,01/01/11 05:25:31 AM,3.21,,,,
324,01/01/11 05:29:27 AM,3.22,,,,
325,01/01/11 05:35:50 AM,3.23,,,,
326,01/01/11 05:43:30 AM,3.24,,,,
327,01/01/11 05:50:41 AM,3.25,,,,
328,01/01/11 05:55:28 AM,3.26,,,,
329,01/01/11 06:03:08 AM,3.27,,,,
330,01/01/11 06:10:12 AM,3.28,,,,
331,01/01/11 06:20:29 AM,3.29,,,,
332,01/01/11 06:33:23 AM,3.30,,,,
333,01/01/11 06:44:38 AM,3.31,,,,
334,01/01/11 06:54:17 AM,3.32,,,,
335,01/01/11 07:02:58 AM,3.33,,,,
336,01/01/11 07:08:55 AM,3.34,,,,
337,01/01/11 07:13:05 AM,3.35,,,,
338,01/01/11 07:17:49 AM,3.36,,,,
339,01/01/11 07:23:57 AM,3.37,,,,
340,01/01/11 07:29:49 AM,3.38,,,,
341,01/01/11 07:36:39 AM,3.39,,,,
342,01/01/11 07:41:54 AM,3.40,,,,
343,01/01/11 07:44:41 AM,3.41,,,,
344,01/01/11 07:46:38 AM,3.42,,,,
345,01/01/11 07:50:07 AM,3.43,,,,
346,01/01/11 07:53:26 AM,3.44,,,,
347,01/01/11 07:58:29 AM,3.45,,,,
348,01/01/11 08:05:59 AM,3.46,,,,
349,01/01/11 08:12:53 AM,3.47,,,,
350,01/01/11 08:16:51 AM,3.48,,,,
351,01/01/11 08:29:16 AM,3.49,,,,
352,01/02/11 12:39:12 AM,3.50,,,,
353,01/02/11 12:39:48 AM,3.51,,,,
354,01/02/11 12:40:32 AM,3.52,,,,
355,01/02/11 12:41:49 AM,3.53,,,,
356,01/02/11 12:43:47 AM,3.54,,,,
357,01/02/11 12:44:52 AM,3.55,,,,
358,01/02/11 12:51:10 AM,3.56,,,,
359,01/02/11 01:06:01 AM,3.57,,,,
360,01/02/11 01:11:54 AM,3.58,,,,
361,01/02/11 01:21:23 AM,3.59,,,,
362,01/02/11 04:08:21 AM,3.60,,,,
363,01/02/11 04:13:47 AM,3.61,,,,
364,01/02/11 04:16:01 AM,3.62,,,,
365,01/02/11 04:17:20 AM,3.63,,,,
366,01/02/11 04:18:49 AM,3.64,,,,
367,01/02/11 04:20:21 AM,3.65,,,,
368,01/02/11 04:22:11 AM,3.66,,,,
369,01/02/11 04:25:29 AM,3.67,,,,
370,01/02/11 04:28:13 AM,3.68,,,,
371,01/02/11 04:29:25 AM,3.69,,,,
372,01/02/11 04:30:23 AM,3.70,,,,
373,01/02/11 04:31:41 AM,3.71,,,,
374,01/02/11 04:33:15 AM,3.72,,,,
375,01/02/11 04:35:31 AM,3.73,,,,
376,01/02/11 04:37:07 AM,3.74,,,,
377,01/02/11 04:38:49 AM,3.75,,,,
378,01/02/11 04:39:50 AM,3.76,,,,
379,01/02/11 04:40:23 AM,3.77,,,,
380,01/02/11 04:41:18 AM,3.78,,,,
381,01/02/11 04:42:14 AM,3.79,,,,
382,01/02/11 04:43:45 AM,3.80,,,,
383,01/02/11 04:45:29 AM,3.81,,,,
384,01/02/11 04:47:08 AM,3.82,,,,
385,01/02/11 04:48:04 AM,3.83,,,,
386,01/02/11 04:49:40 AM,3.84,,,,
387,01/02/11 04:50:49 AM,3.85,,,,
388,01/02/11 04:51:49 AM,3.86,,,,
389,01/02/11 04:52:47 AM,3.87,,,,
390,01/02/11 04:54:07 AM,3.88,,,,
391,01/02/11 04:55:26 AM,3.89,,,,
392,01/02/11 04:56:20 AM,3.90,,,,
393,01/02/11 04:57:47 AM,3.91,,,,
394,01/02/11 04:58:23 AM,3.92,,,,
395,01/02/11 04:59:12 AM,3.93,,,,
396,01/02/11 05:00:23 AM,3.94,,,,
397,01/02/11 05:01:09 AM,3.95,,,,
398,01/02/11 05:02:26 AM,3.96,,,,
399,01/02/11 05:03:55 AM,3.97,,,,
400,01/02/11 05:06:03 AM,3.98,,,,
401,01/02/11 05:07:58 AM,3.99,,,,
402,01/02/11 05:10:04 AM,4.00,,,,
403,01/02/11 05:11:50 AM,4.01,,,,
404,01/02/11 05:13:24 AM,4.02,,,,
405,01/02/11 05:14:56 AM,4.03,,,,
406,01/02/11 05:17:44 AM,4.04,,,,
407,01/02/11 05:19:15 AM,4.05,,,,
408,01/02/11 05:21:28 AM,4.06,,,,
409,01/02/11 05:23:27 AM,4.07,,,,
410,01/02/11 05:25:05 AM,4.08,,,,
411,01/02/11 05:26:44 AM,4.09,,,,
412,01/02/11 05:28:35 AM,4.10,,,,
413,01/02/11 05:30:23 AM,4.11,,,,
414,01/02/11 05:34:22 AM,4.12,,,,
415,01/02/11 05:38:17 AM,4.13,,,,
416,01/02/11 05:42:52 AM,4.14,,,,
417,01/02/11 05:48:12 AM,4.15,,,,
418,01/02/11 05:56:59 AM,4.16,,,,
419,01/02/11 06:01:46 AM,4.17,,,,
420,01/02/11 06:07:37 AM,4.18,,,,
421,01/02/11 06:12:36 AM,4.19,,,,
422,01/02/11 06:16:51 AM,4.20,,,,
423,01/02/11 06:26:40 AM,4.21,,,,
424,01/02/11 06:33:37 AM,4.22,,,,
425,01/02/11 06:38:45 AM,4.23,,,,
426,01/02/11 06:46:10 AM,4.24,,,,
427,01/02/11 06:48:53 AM,4.25,,,,
428,01/02/11 06:50:45 AM,4.26,,,,
429,01/02/11 06:53:28 AM,4.27,,,,
430,01/02/11 06:57:12 AM,4.28,,,,
431,01/02/11 07:00:26 AM,4.29,,,,
432,01/02/11 07:04:45 AM,4.30,,,,
433,01/02/11 07:10:16 AM,4.31,,,,
434,01/02/11 07:12:33 AM,4.32,,,,
435,01/02/11 07:16:40 AM,4.33,,,,
436,01/02/11 07:20:50 AM,4.34,,,,
437,01/02/11 07:25:11 AM,4.35,,,,
438,01/02/11 07:36:33 AM,4.36,,,,
439,01/02/11 07:41:45 AM,4.37,,,,
440,01/02/11 07:48:07 AM,4.38,,,,
441,01/02/11 07:51:39 AM,4.39,,,,
442,01/02/11 07:59:54 AM,4.40,,,,
443,01/02/11 08:08:21 AM,4.41,,,,
444,01/02/11 10:09:15 AM,4.42,,,,
445,01/02/11 10:31:18 AM,4.43,,,,
446,01/02/11 06:11:30 PM,4.44,,,,
447,01/02/11 06:13:15 PM,4.45,,,,
448,01/02/11 06:25:00 PM,4.46,,,,
449,01/04/11 12:42:18 PM,,,Logged,,
450,01/04/11 12:42:22 PM,4.46,,,Logged,Logged
