"Plot Title: HS"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668992, SEN S/N: 9668992)","Batt, V (LGR S/N: 9668992, SEN S/N: 9668992)","Event, units (LGR S/N: 9668992, SEN S/N: 9668992)","End Of File (LGR S/N: 9668992, SEN S/N: 9668992)"
236,05/11/11 05:03:55 PM,62.769,2.97,,
237,05/11/11 05:03:56 PM,62.769,2.97,,
238,05/11/11 05:03:57 PM,62.769,2.97,,
239,05/11/11 05:03:58 PM,62.769,2.97,,
240,05/11/11 05:03:59 PM,62.769,2.97,,
241,05/11/11 05:04:00 PM,62.769,2.97,,
242,05/11/11 05:04:01 PM,62.769,2.97,,
243,05/11/11 05:04:02 PM,62.769,2.97,,
244,05/11/11 05:04:03 PM,62.769,2.97,,
245,05/11/11 05:04:04 PM,62.769,2.97,,
246,05/11/11 05:04:05 PM,62.769,2.97,,
247,05/11/11 05:04:06 PM,62.769,2.97,,
248,05/11/11 05:04:07 PM,62.769,2.97,,
249,05/11/11 05:04:08 PM,62.769,2.97,,
250,05/11/11 05:04:09 PM,62.769,2.97,,
251,05/11/11 05:04:10 PM,62.769,2.97,,
252,05/11/11 05:04:11 PM,62.769,2.97,,
253,05/11/11 05:04:12 PM,62.769,2.97,,
254,05/11/11 05:04:13 PM,62.598,2.97,,
255,05/11/11 05:04:14 PM,62.769,2.97,,
256,05/11/11 05:04:15 PM,62.598,2.97,,
257,05/11/11 05:04:16 PM,62.598,2.97,,
258,05/11/11 05:04:17 PM,62.598,2.97,,
259,05/11/11 05:04:18 PM,62.598,2.97,,
260,05/11/11 05:04:19 PM,62.598,2.97,,
261,05/11/11 05:04:20 PM,62.598,2.97,,
262,05/11/11 05:04:21 PM,62.598,2.97,,
263,05/11/11 05:04:22 PM,62.598,2.97,,
264,05/11/11 05:04:23 PM,62.598,2.97,,
265,05/11/11 05:04:24 PM,62.598,2.97,,
266,05/11/11 05:04:25 PM,62.598,2.97,,
267,05/11/11 05:04:26 PM,62.598,2.97,,
268,05/11/11 05:04:27 PM,62.598,2.97,,
269,05/11/11 05:04:28 PM,62.598,2.97,,
270,05/11/11 05:04:29 PM,62.598,2.97,,
271,05/11/11 05:04:30 PM,62.598,2.97,,
272,05/11/11 05:04:31 PM,62.598,2.97,,
273,05/11/11 05:04:32 PM,62.598,2.97,,
274,05/11/11 05:04:33 PM,62.598,2.97,,
275,05/11/11 05:04:34 PM,62.598,2.97,,
276,05/11/11 05:04:35 PM,62.598,2.97,,
277,05/11/11 05:04:36 PM,62.598,2.97,,
278,05/11/11 05:04:37 PM,62.598,2.97,,
279,05/11/11 05:04:38 PM,62.598,2.97,,
280,05/11/11 05:04:39 PM,62.598,2.97,,
281,05/11/11 05:04:40 PM,62.769,2.97,,
282,05/11/11 05:04:41 PM,62.769,2.97,,
283,05/11/11 05:04:42 PM,62.769,2.97,,
284,05/11/11 05:04:43 PM,62.769,2.97,,
285,05/11/11 05:04:44 PM,62.769,2.97,,
286,05/11/11 05:04:45 PM,62.769,2.97,,
287,05/11/11 05:04:46 PM,62.769,2.97,,
288,05/11/11 05:04:47 PM,62.769,2.97,,
289,05/11/11 05:04:48 PM,62.769,2.97,,
290,05/11/11 05:04:49 PM,62.769,2.97,,
291,05/11/11 05:04:50 PM,62.769,2.97,,
292,05/11/11 05:04:51 PM,62.769,2.97,,
293,05/11/11 05:04:52 PM,62.769,2.97,,
294,05/11/11 05:04:53 PM,62.769,2.97,,
295,05/11/11 05:04:54 PM,62.769,2.97,,
296,05/11/11 05:04:55 PM,62.769,2.97,,
297,05/11/11 05:04:56 PM,62.769,2.97,,
298,05/11/11 05:04:57 PM,62.769,2.97,,
299,05/11/11 05:04:58 PM,62.769,2.97,,
300,05/11/11 05:04:59 PM,62.769,2.97,,
301,05/11/11 05:05:00 PM,62.769,2.97,,
302,05/11/11 05:05:01 PM,62.769,2.97,,
303,05/11/11 05:05:02 PM,62.769,2.97,,
304,05/11/11 05:05:03 PM,62.769,2.97,,
305,05/11/11 05:05:04 PM,62.769,2.97,,
306,05/11/11 05:05:05 PM,62.769,2.97,,
307,05/11/11 05:05:06 PM,62.940,2.97,,
308,05/11/11 05:05:07 PM,62.940,2.97,,
309,05/11/11 05:05:08 PM,62.940,2.97,,
310,05/11/11 05:05:09 PM,62.940,2.97,,
311,05/11/11 05:05:10 PM,62.940,2.97,,
312,05/11/11 05:05:11 PM,62.940,2.97,,
313,05/11/11 05:05:12 PM,62.940,2.97,,
314,05/11/11 05:05:13 PM,62.940,2.97,,
315,05/11/11 05:05:14 PM,62.940,2.97,,
316,05/11/11 05:05:15 PM,62.940,2.97,,
317,05/11/11 05:05:16 PM,62.940,2.97,,
318,05/11/11 05:05:17 PM,62.940,2.97,,
319,05/11/11 05:05:18 PM,62.940,2.97,,
320,05/11/11 05:05:19 PM,62.940,2.97,,
321,05/11/11 05:05:20 PM,62.940,2.97,,
322,05/11/11 05:05:21 PM,62.940,2.97,,
323,05/11/11 05:05:22 PM,62.940,2.97,,
324,05/11/11 05:05:23 PM,62.940,2.97,,
325,05/11/11 05:05:24 PM,62.940,2.97,,
326,05/11/11 05:05:25 PM,62.940,2.97,,
327,05/11/11 05:05:26 PM,62.940,2.97,,
328,05/11/11 05:05:27 PM,62.940,2.97,,
329,05/11/11 05:05:28 PM,62.940,2.97,,
330,05/11/11 05:05:29 PM,62.940,2.97,,
331,05/11/11 05:05:30 PM,63.111,2.97,,
332,05/11/11 05:05:31 PM,62.940,2.97,,
333,05/11/11 05:05:32 PM,63.111,2.97,,
334,05/11/11 05:05:33 PM,63.111,2.97,,
335,05/11/11 05:05:34 PM,62.940,2.97,,
336,05/11/11 05:05:35 PM,63.111,2.97,,
337,05/11/11 05:05:36 PM,63.111,2.97,,
338,05/11/11 05:05:37 PM,62.940,2.97,,
339,05/11/11 05:05:38 PM,63.111,2.97,,
340,05/11/11 05:05:39 PM,63.111,2.97,,
341,05/11/11 05:05:40 PM,63.111,2.97,,
342,05/11/11 05:05:41 PM,62.940,2.97,,
343,05/11/11 05:05:42 PM,63.111,2.97,,
344,05/11/11 05:05:43 PM,63.111,2.97,,
345,05/11/11 05:05:44 PM,63.111,2.97,,
346,05/11/11 05:05:45 PM,62.940,2.97,,
347,05/11/11 05:05:46 PM,63.111,2.97,,
348,05/11/11 05:05:47 PM,63.111,2.97,,
349,05/11/11 05:05:48 PM,63.111,2.97,,
350,05/11/11 05:05:49 PM,62.940,2.97,,
351,05/11/11 05:05:50 PM,63.111,2.97,,
352,05/11/11 05:05:51 PM,63.111,2.97,,
353,05/11/11 05:05:52 PM,63.111,2.97,,
354,05/11/11 05:05:53 PM,62.940,2.97,,
355,05/11/11 05:05:54 PM,62.940,2.97,,
356,05/11/11 05:05:55 PM,62.940,2.97,,
357,05/11/11 05:05:56 PM,62.940,2.97,,
358,05/11/11 05:05:57 PM,62.940,2.97,,
359,05/11/11 05:05:58 PM,63.111,2.97,,
360,05/11/11 05:05:59 PM,62.940,2.97,,
361,05/11/11 05:06:00 PM,62.940,2.97,,
