"Plot Title: UQC"
"#","Date Time, GMT-07:00","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
571,10/01/40 07:28:12 AM,5.70,,,
572,10/01/40 07:31:41 AM,5.71,,,
573,10/01/40 07:35:10 AM,5.72,,,
574,10/01/40 07:39:04 AM,5.73,,,
575,10/01/40 07:43:57 AM,5.74,,,
576,10/01/40 07:48:45 AM,5.75,,,
577,10/01/40 07:53:14 AM,5.76,,,
578,10/01/40 07:57:24 AM,5.77,,,
579,10/01/40 08:01:50 AM,5.78,,,
580,10/01/40 08:05:56 AM,5.79,,,
581,10/01/40 08:10:55 AM,5.80,,,
582,10/01/40 08:16:26 AM,5.81,,,
583,10/01/40 08:21:32 AM,5.82,,,
584,10/01/40 08:26:38 AM,5.83,,,
585,10/01/40 08:29:47 AM,5.84,,,
586,10/01/40 08:32:20 AM,5.85,,,
587,10/01/40 08:36:26 AM,5.86,,,
588,10/01/40 08:42:06 AM,5.87,,,
589,10/01/40 08:51:00 AM,5.88,,,
590,10/01/40 09:09:41 AM,5.89,,,
591,10/01/40 09:12:29 AM,5.90,,,
592,10/01/40 09:46:56 AM,5.91,,,
593,10/01/40 09:57:00 AM,5.92,,,
594,10/01/40 10:03:48 AM,5.93,,,
595,10/01/40 10:08:21 AM,5.94,,,
596,10/01/40 11:03:30 AM,5.95,,,
597,10/01/40 11:04:25 AM,5.96,,,
598,10/01/40 11:19:06 AM,5.97,,,
599,10/01/40 11:47:51 AM,5.98,,,
600,10/01/40 01:41:33 PM,5.99,,,
601,10/01/40 01:52:54 PM,6.00,,,
602,10/01/40 02:05:15 PM,6.01,,,
603,10/01/40 02:14:50 PM,6.02,,,
604,10/01/40 02:30:06 PM,6.03,,,
605,10/01/40 02:38:58 PM,6.04,,,
606,10/01/40 03:06:13 PM,6.05,,,
607,10/01/40 03:15:56 PM,6.06,,,
608,10/01/40 03:32:11 PM,6.07,,,
609,10/01/40 03:47:23 PM,6.08,,,
610,10/01/40 03:51:38 PM,6.09,,,
611,10/01/40 04:18:23 PM,6.10,,,
612,10/01/40 04:24:15 PM,6.11,,,
613,10/01/40 04:51:08 PM,6.12,,,
614,10/01/40 04:58:58 PM,6.13,,,
615,10/01/40 05:06:15 PM,6.14,,,
616,10/01/40 05:11:01 PM,6.15,,,
617,10/01/40 05:22:26 PM,6.16,,,
618,10/01/40 05:29:28 PM,6.17,,,
619,10/01/40 05:33:44 PM,6.18,,,
620,10/01/40 05:40:06 PM,6.19,,,
621,10/01/40 06:38:34 PM,6.20,,,
622,10/01/40 06:44:22 PM,6.21,,,
623,10/01/40 07:35:04 PM,6.22,,,
624,10/01/40 07:52:24 PM,6.23,,,
625,10/01/40 07:55:11 PM,6.24,,,
626,10/01/40 07:57:22 PM,6.25,,,
627,10/01/40 07:58:38 PM,6.26,,,
628,10/01/40 08:01:21 PM,6.27,,,
629,10/01/40 08:09:36 PM,6.28,,,
630,10/01/40 08:13:04 PM,6.29,,,
631,10/01/40 08:30:39 PM,6.30,,,
632,10/01/40 08:35:23 PM,6.31,,,
633,10/01/40 09:01:03 PM,6.32,,,
634,10/02/40 12:50:04 AM,6.33,,,
635,10/02/40 12:58:53 AM,6.34,,,
636,10/03/40 03:23:21 PM,6.35,,,
637,10/03/40 03:23:58 PM,6.36,,,
638,10/03/40 03:24:37 PM,6.37,,,
639,10/03/40 03:26:05 PM,6.38,,,
640,10/03/40 03:28:26 PM,6.39,,,
641,10/03/40 03:34:54 PM,6.40,,,
642,10/03/40 03:46:26 PM,6.41,,,
643,10/03/40 03:47:36 PM,6.42,,,
644,10/03/40 04:30:46 PM,6.43,,,
645,10/03/40 04:43:23 PM,6.44,,,
646,10/03/40 04:44:18 PM,6.45,,,
647,10/03/40 05:35:21 PM,6.46,,,
648,10/03/40 06:06:23 PM,6.47,,,
649,10/03/40 06:10:32 PM,6.48,,,
650,10/03/40 06:14:23 PM,6.49,,,
651,10/03/40 06:17:31 PM,6.50,,,
652,10/03/40 06:21:21 PM,6.51,,,
653,10/03/40 07:18:50 PM,6.52,,,
654,10/03/40 07:20:04 PM,6.53,,,
655,10/03/40 07:20:05 PM,6.54,,,
656,10/03/40 07:23:04 PM,6.55,,,
657,10/03/40 08:55:15 PM,6.56,,,
658,10/04/40 07:53:45 AM,6.57,,,
659,10/07/40 12:07:55 AM,6.58,,,
660,10/07/40 09:55:12 AM,6.59,,,
661,10/07/40 09:57:28 AM,6.60,,,
662,10/07/40 09:57:29 AM,6.61,,,
663,10/07/40 09:59:30 AM,6.62,,,
664,10/07/40 10:01:35 AM,6.63,,,
665,10/07/40 10:04:17 AM,6.64,,,
666,10/07/40 10:06:12 AM,6.65,,,
667,10/07/40 10:06:13 AM,6.66,,,
668,10/07/40 10:08:57 AM,6.67,,,
669,10/07/40 10:15:17 AM,6.68,,,
670,10/07/40 10:23:20 AM,6.69,,,
671,10/07/40 10:33:06 AM,6.70,,,
672,10/07/40 10:33:07 AM,6.71,,,
673,10/07/40 10:40:08 AM,6.72,,,
674,10/09/40 08:10:57 PM,,Logged,,
675,10/09/40 08:11:09 PM,6.72,,Logged,Logged
