"Plot Title: UNF"
"#","Date Time, GMT-08:00","Event, units (LGR S/N: 10592083, SEN S/N: 10592083, LBL: UNF)","Coupler Detached (LGR S/N: 10592083, SEN S/N: 10592083)","Coupler Attached (LGR S/N: 10592083, SEN S/N: 10592083)","Stopped (LGR S/N: 10592083, SEN S/N: 10592083)","End Of File (LGR S/N: 10592083, SEN S/N: 10592083)"
224,01/05/16 09:29:51 AM,2.22,,,,
225,01/05/16 09:33:15 AM,2.23,,,,
226,01/05/16 09:37:25 AM,2.24,,,,
227,01/05/16 09:42:28 AM,2.25,,,,
228,01/05/16 09:49:21 AM,2.26,,,,
229,01/05/16 09:52:14 AM,2.27,,,,
230,01/05/16 10:09:13 AM,2.28,,,,
231,01/05/16 10:22:28 AM,2.29,,,,
232,01/05/16 10:24:08 AM,2.30,,,,
233,01/05/16 10:25:29 AM,2.31,,,,
234,01/05/16 10:30:11 AM,2.32,,,,
235,01/05/16 10:35:15 AM,2.33,,,,
236,01/05/16 10:39:41 AM,2.34,,,,
237,01/05/16 10:45:38 AM,2.35,,,,
238,01/05/16 10:59:23 AM,2.36,,,,
239,01/05/16 11:51:20 AM,2.37,,,,
240,01/05/16 11:59:22 AM,2.38,,,,
241,01/05/16 12:06:55 PM,2.39,,,,
242,01/05/16 12:15:42 PM,2.40,,,,
243,01/05/16 12:25:53 PM,2.41,,,,
244,01/05/16 02:09:54 PM,2.42,,,,
245,01/05/16 02:28:22 PM,2.43,,,,
246,01/05/16 02:51:35 PM,2.44,,,,
247,01/05/16 02:52:59 PM,2.45,,,,
248,01/05/16 02:55:08 PM,2.46,,,,
249,01/05/16 02:58:18 PM,2.47,,,,
250,01/05/16 04:13:34 PM,2.48,,,,
251,01/05/16 04:14:59 PM,2.49,,,,
252,01/05/16 04:18:42 PM,2.50,,,,
253,01/06/16 02:25:04 AM,2.51,,,,
254,01/06/16 03:06:43 AM,2.52,,,,
255,01/06/16 03:16:32 AM,2.53,,,,
256,01/06/16 03:22:34 AM,2.54,,,,
257,01/06/16 03:26:00 AM,2.55,,,,
258,01/06/16 03:29:37 AM,2.56,,,,
259,01/06/16 03:32:31 AM,2.57,,,,
260,01/06/16 03:36:04 AM,2.58,,,,
261,01/06/16 03:38:54 AM,2.59,,,,
262,01/06/16 03:43:18 AM,2.60,,,,
263,01/06/16 03:47:09 AM,2.61,,,,
264,01/06/16 03:49:31 AM,2.62,,,,
265,01/06/16 03:53:11 AM,2.63,,,,
