"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
318,01/01/12 07:39:36 PM,56.404,,,,
319,01/01/12 07:54:36 PM,55.884,,,,
320,01/01/12 08:09:36 PM,54.842,,,,
321,01/01/12 08:24:36 PM,53.973,,,,
322,01/01/12 08:39:36 PM,53.274,,,,
323,01/01/12 08:54:36 PM,52.050,,,,
324,01/01/12 09:09:36 PM,51.346,,,,
325,01/01/12 09:24:36 PM,49.759,,,,
326,01/01/12 09:39:36 PM,49.937,,,,
327,01/01/12 09:54:36 PM,48.339,,,,
328,01/01/12 10:09:36 PM,48.160,,,,
329,01/01/12 10:24:36 PM,48.695,,,,
330,01/01/12 10:39:36 PM,49.050,,,,
331,01/01/12 10:54:36 PM,49.228,,,,
332,01/01/12 11:09:36 PM,49.228,,,,
333,01/01/12 11:24:36 PM,49.228,,,,
334,01/01/12 11:39:36 PM,49.050,,,,
335,01/01/12 11:54:36 PM,48.871,,,,
336,01/02/12 12:09:36 AM,49.228,,,,
337,01/02/12 12:24:36 AM,49.404,,,,
338,01/02/12 12:39:36 AM,49.582,,,,
339,01/02/12 12:54:36 AM,49.582,,,,
340,01/02/12 01:09:36 AM,49.759,,,,
341,01/02/12 01:24:36 AM,49.937,,,,
342,01/02/12 01:39:36 AM,49.937,,,,
343,01/02/12 01:54:36 AM,49.050,,,,
344,01/02/12 02:09:36 AM,48.517,,,,
345,01/02/12 02:24:36 AM,48.517,,,,
346,01/02/12 02:39:36 AM,48.695,,,,
347,01/02/12 02:54:36 AM,48.517,,,,
348,01/02/12 03:09:36 AM,47.624,,,,
349,01/02/12 03:24:36 AM,47.266,,,,
350,01/02/12 03:39:36 AM,47.446,,,,
351,01/02/12 03:54:36 AM,48.160,,,,
352,01/02/12 04:09:36 AM,48.517,,,,
353,01/02/12 04:24:36 AM,49.050,,,,
354,01/02/12 04:39:36 AM,49.228,,,,
355,01/02/12 04:54:36 AM,49.404,,,,
356,01/02/12 05:09:36 AM,49.759,,,,
357,01/02/12 05:24:36 AM,49.937,,,,
358,01/02/12 05:39:36 AM,49.937,,,,
359,01/02/12 05:54:36 AM,49.937,,,,
360,01/02/12 06:09:36 AM,50.113,,,,
361,01/02/12 06:24:36 AM,50.113,,,,
362,01/02/12 06:39:36 AM,49.937,,,,
363,01/02/12 06:54:36 AM,49.759,,,,
364,01/02/12 07:09:36 AM,49.759,,,,
365,01/02/12 07:24:36 AM,49.404,,,,
366,01/02/12 07:39:36 AM,49.404,,,,
367,01/02/12 07:54:36 AM,49.228,,,,
368,01/02/12 08:09:36 AM,49.937,,,,
369,01/02/12 08:24:36 AM,49.937,,,,
370,01/02/12 08:39:36 AM,49.937,,,,
371,01/02/12 08:54:36 AM,50.113,,,,
372,01/02/12 09:09:36 AM,50.995,,,,
373,01/02/12 09:24:36 AM,51.874,,,,
374,01/02/12 09:39:36 AM,52.050,,,,
375,01/02/12 09:54:36 AM,52.050,,,,
376,01/02/12 10:09:36 AM,52.750,,,,
377,01/02/12 10:24:36 AM,52.925,,,,
378,01/02/12 10:39:36 AM,52.750,,,,
379,01/02/12 10:54:36 AM,53.623,,,,
380,01/02/12 11:09:36 AM,54.842,,,,
381,01/02/12 11:24:36 AM,55.537,,,,
382,01/02/12 11:39:36 AM,56.923,,,,
383,01/02/12 11:54:36 AM,57.785,,,,
384,01/02/12 12:09:36 PM,58.131,,,,
385,01/02/12 12:24:36 PM,58.820,,,,
386,01/02/12 12:39:36 PM,60.024,,,,
387,01/02/12 12:54:36 PM,59.508,,,,
388,01/02/12 01:09:36 PM,59.851,,,,
389,01/02/12 01:24:36 PM,60.024,,,,
390,01/02/12 01:39:36 PM,60.368,,,,
391,01/02/12 01:54:36 PM,59.851,,,,
392,01/02/12 02:09:36 PM,59.680,,,,
393,01/02/12 02:24:36 PM,58.647,,,,
394,01/02/12 02:39:36 PM,58.993,,,,
395,01/02/12 02:54:36 PM,58.303,,,,
396,01/02/12 03:09:36 PM,59.680,,,,
397,01/02/12 03:24:36 PM,59.680,,,,
398,01/02/12 03:39:36 PM,58.820,,,,
399,01/02/12 03:54:36 PM,58.476,,,,
400,01/02/12 04:09:36 PM,57.614,,,,
401,01/02/12 04:24:36 PM,57.614,,,,
402,01/02/12 04:39:36 PM,56.923,,,,
403,01/02/12 04:54:36 PM,56.404,,,,
404,01/02/12 05:09:36 PM,54.842,,,,
405,01/02/12 05:24:36 PM,53.449,,,,
406,01/02/12 05:39:36 PM,51.874,,,,
407,01/02/12 05:54:36 PM,50.819,,,,
408,01/02/12 06:09:36 PM,50.643,,,,
409,01/02/12 06:24:36 PM,50.995,,,,
410,01/02/12 06:39:36 PM,50.995,,,,
411,01/02/12 06:54:36 PM,51.346,,,,
412,01/02/12 07:09:36 PM,51.172,,,,
413,01/02/12 07:24:36 PM,49.937,,,,
414,01/02/12 07:39:36 PM,49.050,,,,
415,01/02/12 07:54:36 PM,49.050,,,,
416,01/02/12 08:09:36 PM,48.517,,,,
417,01/02/12 08:24:36 PM,48.160,,,,
418,01/02/12 08:39:36 PM,48.517,,,,
419,01/02/12 08:54:36 PM,48.160,,,,
420,01/02/12 09:09:36 PM,47.982,,,,
421,01/02/12 09:24:36 PM,47.982,,,,
422,01/02/12 09:39:36 PM,48.695,,,,
423,01/02/12 09:54:36 PM,48.160,,,,
424,01/02/12 10:09:36 PM,48.517,,,,
425,01/02/12 10:24:36 PM,49.582,,,,
426,01/02/12 10:39:36 PM,49.228,,,,
427,01/02/12 10:54:36 PM,49.228,,,,
428,01/02/12 11:09:36 PM,49.404,,,,
429,01/02/12 11:24:36 PM,49.759,,,,
430,01/02/12 11:39:36 PM,49.050,,,,
431,01/02/12 11:54:36 PM,49.050,,,,
432,01/03/12 12:09:36 AM,48.695,,,,
