"Plot Title: UQC"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592087, SEN S/N: 10592087)","Event, units (LGR S/N: 10592087, SEN S/N: 10592087, LBL: UQC)","Coupler Detached (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Host Connected (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
444,03/14/16 02:56:29 AM,,3.31,,,,
445,03/14/16 02:56:30 AM,,3.32,,,,
446,03/14/16 02:56:31 AM,,3.33,,,,
447,03/14/16 02:56:32 AM,,3.34,,,,
448,03/14/16 02:56:33 AM,,3.35,,,,
449,03/14/16 02:56:34 AM,,3.36,,,,
450,03/14/16 02:56:35 AM,,3.37,,,,
451,03/14/16 02:56:38 AM,,3.38,,,,
452,03/14/16 02:56:39 AM,,3.39,,,,
453,03/14/16 02:56:51 AM,,3.40,,,,
454,03/14/16 02:58:36 AM,,3.41,,,,
455,03/14/16 02:58:37 AM,,3.42,,,,
456,03/14/16 02:58:41 AM,,3.43,,,,
457,03/14/16 02:58:54 AM,,3.44,,,,
458,03/14/16 02:59:13 AM,,3.45,,,,
459,03/14/16 02:59:14 AM,,3.46,,,,
460,03/14/16 02:59:16 AM,,3.47,,,,
461,03/14/16 02:59:17 AM,,3.48,,,,
462,03/14/16 02:59:19 AM,,3.49,,,,
463,03/14/16 02:59:20 AM,,3.50,,,,
464,03/14/16 02:59:21 AM,,3.51,,,,
465,03/14/16 02:59:23 AM,,3.52,,,,
466,03/14/16 02:59:27 AM,,3.53,,,,
467,03/14/16 02:59:28 AM,,3.54,,,,
468,03/14/16 02:59:29 AM,,3.55,,,,
469,03/14/16 03:09:18 AM,,3.56,,,,
470,03/14/16 03:09:21 AM,,3.57,,,,
471,03/14/16 03:09:23 AM,,3.58,,,,
472,03/14/16 03:09:24 AM,,3.59,,,,
473,03/14/16 03:09:25 AM,,3.60,,,,
474,03/14/16 03:09:27 AM,,3.61,,,,
475,03/14/16 03:11:37 AM,,3.62,,,,
476,03/14/16 03:11:40 AM,,3.63,,,,
477,03/14/16 03:12:06 AM,,3.64,,,,
478,03/14/16 03:12:44 AM,,3.65,,,,
479,03/14/16 03:12:46 AM,,3.66,,,,
480,03/14/16 03:14:34 AM,,3.67,,,,
481,03/14/16 03:14:44 AM,,3.68,,,,
482,03/14/16 03:16:19 AM,,3.69,,,,
483,03/14/16 03:16:28 AM,,3.70,,,,
484,03/14/16 03:16:30 AM,,3.71,,,,
485,03/14/16 03:25:59 AM,,3.72,,,,
486,03/14/16 03:30:32 AM,52.401,,,,,
487,03/14/16 03:35:44 AM,,3.73,,,,
488,03/14/16 03:35:46 AM,,3.74,,,,
489,03/14/16 03:36:01 AM,,3.75,,,,
490,03/14/16 03:44:05 AM,,3.76,,,,
491,03/14/16 03:45:42 AM,,3.77,,,,
492,03/14/16 03:45:43 AM,,3.78,,,,
493,03/14/16 03:47:28 AM,,3.79,,,,
494,03/14/16 04:30:32 AM,51.523,,,,,
495,03/14/16 05:30:32 AM,50.290,,,,,
496,03/14/16 05:47:05 AM,,3.80,,,,
497,03/14/16 06:30:32 AM,49.228,,,,,
498,03/14/16 07:30:32 AM,47.802,,,,,
499,03/14/16 08:30:32 AM,53.973,,,,,
500,03/14/16 09:30:32 AM,64.481,,,,,
501,03/14/16 10:30:32 AM,68.592,,,,,
502,03/14/16 11:30:32 AM,64.481,,,,,
503,03/14/16 12:30:32 PM,69.964,,,,,
