"Plot Title: RLSM"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10592079, SEN S/N: 10592079)","Event, units (LGR S/N: 10592079, SEN S/N: 10592079, LBL: RLSM)","Coupler Detached (LGR S/N: 10592079, SEN S/N: 10592079)","End Of File (LGR S/N: 10592079, SEN S/N: 10592079)"
514,01/01/18 01:42:57 AM,44.922,,,
515,01/01/18 02:42:57 AM,44.742,,,
516,01/01/18 03:42:57 AM,46.728,,,
517,01/01/18 04:42:57 AM,45.828,,,
518,01/01/18 05:42:57 AM,42.732,,,
519,01/01/18 06:42:57 AM,42.732,,,
520,01/01/18 07:42:57 AM,43.466,,,
521,01/01/18 08:42:57 AM,52.750,,,
522,01/01/18 09:42:57 AM,61.912,,,
523,01/01/18 10:42:57 AM,85.374,,,
524,01/01/18 11:42:57 AM,98.699,,,
525,01/01/18 12:42:57 PM,97.720,,,
526,01/01/18 01:42:57 PM,90.309,,,
527,01/01/18 02:42:57 PM,74.619,,,
528,01/01/18 03:42:57 PM,68.248,,,
529,01/01/18 04:42:57 PM,62.769,,,
530,01/01/18 05:42:57 PM,57.785,,,
531,01/01/18 06:42:57 PM,56.750,,,
532,01/01/18 07:42:57 PM,56.404,,,
533,01/01/18 08:42:57 PM,58.131,,,
534,01/01/18 09:42:57 PM,56.230,,,
535,01/01/18 10:42:57 PM,56.404,,,
536,01/01/18 11:42:57 PM,58.131,,,
537,01/02/18 12:42:57 AM,56.923,,,
538,01/02/18 01:42:57 AM,55.364,,,
539,01/02/18 02:42:57 AM,61.227,,,
540,01/02/18 03:42:57 AM,60.024,,,
541,01/02/18 04:42:57 AM,60.195,,,
542,01/02/18 05:42:57 AM,60.368,,,
543,01/02/18 06:42:57 AM,58.131,,,
544,01/02/18 07:42:57 AM,57.441,,,
545,01/02/18 08:42:57 AM,62.425,,,
546,01/02/18 09:42:57 AM,65.680,,,
547,01/02/18 10:42:57 AM,67.564,,,
548,01/02/18 11:42:57 AM,69.622,,,
549,01/02/18 12:42:57 PM,71.512,,,
550,01/02/18 01:42:57 PM,70.995,,,
551,01/02/18 02:42:57 PM,69.107,,,
552,01/02/18 03:42:57 PM,66.366,,,
553,01/02/18 04:42:57 PM,61.741,,,
554,01/02/18 05:42:57 PM,57.785,,,
555,01/02/18 06:42:57 PM,60.368,,,
