"Plot Title: Landing"
"#","Date Time, GMT-07:00","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
449,12/23/12 03:52:02 PM,4.47,,,,
450,12/23/12 03:52:46 PM,4.48,,,,
451,12/23/12 03:53:29 PM,4.49,,,,
452,12/23/12 03:54:26 PM,4.50,,,,
453,12/23/12 03:55:19 PM,4.51,,,,
454,12/23/12 03:56:12 PM,4.52,,,,
455,12/23/12 03:57:10 PM,4.53,,,,
456,12/23/12 03:58:23 PM,4.54,,,,
457,12/23/12 03:59:23 PM,4.55,,,,
458,12/23/12 04:00:42 PM,4.56,,,,
459,12/23/12 04:02:34 PM,4.57,,,,
460,12/23/12 04:05:06 PM,4.58,,,,
461,12/23/12 04:11:22 PM,4.59,,,,
462,12/23/12 04:19:37 PM,4.60,,,,
463,12/23/12 04:21:32 PM,4.61,,,,
464,12/23/12 04:26:45 PM,4.62,,,,
465,12/23/12 04:49:01 PM,4.63,,,,
466,12/23/12 06:40:23 PM,4.64,,,,
467,12/23/12 06:40:24 PM,4.65,,,,
468,12/23/12 06:42:25 PM,4.66,,,,
469,12/23/12 06:47:44 PM,4.67,,,,
470,12/23/12 06:53:00 PM,4.68,,,,
471,12/23/12 06:55:32 PM,4.69,,,,
472,12/23/12 06:57:04 PM,4.70,,,,
473,12/23/12 07:30:37 PM,4.71,,,,
474,12/23/12 07:37:38 PM,4.72,,,,
475,12/23/12 07:43:38 PM,4.73,,,,
476,12/23/12 08:13:39 PM,4.74,,,,
477,12/23/12 08:31:55 PM,4.75,,,,
478,12/24/12 04:49:33 AM,4.76,,,,
479,12/25/12 12:09:22 PM,4.77,,,,
480,12/25/12 12:43:08 PM,4.78,,,,
481,12/25/12 02:51:30 PM,4.79,,,,
482,12/25/12 05:12:01 PM,4.80,,,,
483,12/25/12 05:13:12 PM,4.81,,,,
484,12/25/12 05:13:57 PM,4.82,,,,
485,12/25/12 05:15:40 PM,4.83,,,,
486,12/25/12 05:16:21 PM,4.84,,,,
487,12/25/12 05:17:43 PM,4.85,,,,
488,12/25/12 05:18:35 PM,4.86,,,,
489,12/25/12 05:19:48 PM,4.87,,,,
490,12/25/12 05:20:17 PM,4.88,,,,
491,12/25/12 05:20:48 PM,4.89,,,,
492,12/25/12 05:21:03 PM,4.90,,,,
493,12/25/12 05:21:25 PM,4.91,,,,
494,12/25/12 05:21:39 PM,4.92,,,,
495,12/25/12 05:22:27 PM,4.93,,,,
496,12/25/12 05:23:53 PM,4.94,,,,
497,12/25/12 05:24:37 PM,4.95,,,,
498,12/25/12 05:24:56 PM,4.96,,,,
499,12/25/12 05:25:22 PM,4.97,,,,
500,12/25/12 05:25:51 PM,4.98,,,,
501,12/25/12 05:27:07 PM,4.99,,,,
502,12/25/12 05:28:02 PM,5.00,,,,
503,12/25/12 05:28:31 PM,5.01,,,,
504,12/25/12 05:29:18 PM,5.02,,,,
505,12/25/12 05:29:59 PM,5.03,,,,
506,12/25/12 05:30:26 PM,5.04,,,,
507,12/25/12 05:31:06 PM,5.05,,,,
508,12/25/12 05:31:30 PM,5.06,,,,
509,12/25/12 05:32:06 PM,5.07,,,,
510,12/25/12 05:32:33 PM,5.08,,,,
511,12/25/12 05:32:34 PM,5.09,,,,
512,12/25/12 05:33:14 PM,5.10,,,,
513,12/25/12 05:33:15 PM,5.11,,,,
514,12/25/12 05:34:02 PM,5.12,,,,
515,12/25/12 05:35:04 PM,5.13,,,,
516,12/25/12 05:36:01 PM,5.14,,,,
517,12/25/12 05:37:07 PM,5.15,,,,
518,12/25/12 05:38:00 PM,5.16,,,,
519,12/25/12 05:38:56 PM,5.17,,,,
