"Plot Title: Range"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20309219, SEN S/N: 20309219, LBL: F)","Event, units (LGR S/N: 20309219, SEN S/N: 20309219)","End Of File (LGR S/N: 20309219, SEN S/N: 20309219)"
364,03/20/19 10:45:00 AM,184.811,,
365,03/20/19 11:00:00 AM,128.496,,
366,03/20/19 11:15:00 AM,23.436,,
367,03/20/19 11:30:00 AM,140.281,,
368,03/20/19 11:45:00 AM,63.111,,
369,03/20/19 12:00:00 PM,86.641,,
370,03/20/19 12:15:00 PM,81.266,,
371,03/20/19 12:30:00 PM,170.883,,
372,03/20/19 12:45:00 PM,57.268,,
373,03/20/19 01:00:00 PM,149.191,,
374,03/20/19 01:15:00 PM,23.875,,
375,03/20/19 01:30:00 PM,38.250,,
376,03/20/19 01:45:00 PM,61.054,,
377,03/20/19 02:00:00 PM,86.641,,
378,03/20/19 02:15:00 PM,235.816,,
379,03/20/19 02:30:00 PM,165.328,,
380,03/20/19 02:45:00 PM,184.811,,
381,03/20/19 03:00:00 PM,112.023,,
382,03/20/19 03:15:00 PM,22.995,,
383,03/20/19 03:30:00 PM,95.016,,
384,03/20/19 03:45:00 PM,61.741,,
385,03/20/19 04:00:00 PM,86.641,,
386,03/20/19 04:15:00 PM,123.825,,
387,03/20/19 04:30:00 PM,166.674,,
388,03/20/19 04:45:00 PM,57.268,,
389,03/20/19 05:00:00 PM,101.887,,
390,03/20/19 05:15:00 PM,23.655,,
391,03/20/19 05:30:00 PM,49.937,,
392,03/20/19 05:45:00 PM,59.680,,
393,03/20/19 06:00:00 PM,86.641,,
394,03/20/19 06:15:00 PM,26.458,,
395,03/20/19 06:30:00 PM,162.289,,
396,03/20/19 06:45:00 PM,4.197,,
397,03/20/19 07:00:00 PM,101.887,,
398,03/20/19 07:15:00 PM,23.216,,
399,03/20/19 07:30:00 PM,122.572,,
400,03/20/19 07:45:00 PM,61.569,,
401,03/20/19 08:00:00 PM,86.459,,
402,03/20/19 08:15:00 PM,105.577,,
403,03/20/19 08:30:00 PM,162.716,,
404,03/20/19 08:45:00 PM,184.811,,
405,03/20/19 09:00:00 PM,62.254,,
406,03/20/19 09:15:00 PM,23.655,,
407,03/20/19 09:30:00 PM,122.572,,
408,03/20/19 09:45:00 PM,59.508,,
409,03/20/19 10:00:00 PM,86.641,,
410,03/20/19 10:15:00 PM,181.891,,
411,03/20/19 10:30:00 PM,166.222,,
412,03/20/19 10:45:00 PM,184.811,,
413,03/20/19 11:00:00 PM,123.321,,
414,03/20/19 11:15:00 PM,23.875,,
415,03/20/19 11:30:00 PM,83.221,,
416,03/20/19 11:45:00 PM,65.851,,
417,03/21/19 12:00:00 AM,86.459,,
418,03/21/19 12:15:00 AM,235.816,,
419,03/21/19 12:30:00 AM,164.008,,
420,03/21/19 12:45:00 AM,103.307,,
421,03/21/19 01:00:00 AM,57.441,,
422,03/21/19 01:15:00 AM,22.775,,
423,03/21/19 01:30:00 AM,-44.507,,
424,03/21/19 01:45:00 AM,49.050,,
425,03/21/19 02:00:00 AM,86.641,,
426,03/21/19 02:15:00 AM,22.995,,
427,03/21/19 02:30:00 AM,156.983,,
428,03/21/19 02:45:00 AM,57.268,,
429,03/21/19 03:00:00 AM,97.137,,
430,03/21/19 03:15:00 AM,22.995,,
431,03/21/19 03:30:00 AM,49.937,,
432,03/21/19 03:45:00 AM,56.577,,
433,03/21/19 04:00:00 AM,86.459,,
434,03/21/19 04:15:00 AM,47.982,,
435,03/21/19 04:30:00 AM,158.173,,
436,03/21/19 04:45:00 AM,103.307,,
437,03/21/19 05:00:00 AM,3.319,,
438,03/21/19 05:15:00 AM,21.884,,
439,03/21/19 05:30:00 AM,25.390,,
440,03/21/19 05:45:00 AM,27.721,,
441,03/21/19 06:00:00 AM,163.575,,
442,03/21/19 06:15:00 AM,26.881,,
443,03/21/19 06:30:00 AM,83.221,,
444,03/21/19 06:45:00 AM,25.390,,
445,03/21/19 07:00:00 AM,107.895,,
446,03/21/19 07:15:00 AM,43.466,,
447,03/21/19 07:30:00 AM,86.277,,
448,03/21/19 07:45:00 AM,87.004,,
449,03/21/19 08:00:00 AM,152.058,,
450,03/21/19 08:15:00 AM,103.307,,
451,03/21/19 08:30:00 AM,32.617,,
452,03/21/19 08:45:00 AM,22.330,,
453,03/21/19 09:00:00 AM,95.016,,
454,03/21/19 09:15:00 AM,39.384,,
455,03/21/19 09:30:00 AM,86.641,,
456,03/21/19 09:45:00 AM,2.725,,
457,03/21/19 10:00:00 AM,163.144,,
458,03/21/19 10:15:00 AM,103.307,,
459,03/21/19 10:30:00 AM,106.835,,
460,03/21/19 10:45:00 AM,21.884,,
461,03/21/19 11:00:00 AM,72.028,,
462,03/21/19 11:15:00 AM,50.995,,
463,03/21/19 11:30:00 AM,86.097,,
464,03/21/19 11:45:00 AM,112.023,,
465,03/21/19 12:00:00 PM,86.277,,
466,03/21/19 12:15:00 PM,147.114,,
467,03/21/19 12:30:00 PM,146.773,,
468,03/21/19 12:45:00 PM,217.571,,
469,03/21/19 01:00:00 PM,164.446,,
470,03/21/19 01:15:00 PM,57.268,,
471,03/21/19 01:30:00 PM,139.969,,
472,03/21/19 01:45:00 PM,27.721,,
473,03/21/19 02:00:00 PM,86.823,,
474,03/21/19 02:15:00 PM,61.912,,
475,03/21/19 02:30:00 PM,170.402,,
476,03/21/19 02:45:00 PM,184.811,,
477,03/21/19 03:00:00 PM,145.094,,
478,03/21/19 03:15:00 PM,23.875,,
479,03/21/19 03:30:00 PM,-44.507,,
480,03/21/19 03:45:00 PM,67.906,,
481,03/21/19 04:00:00 PM,86.641,,
482,03/21/19 04:15:00 PM,141.850,,
483,03/21/19 04:30:00 PM,166.674,,
484,03/21/19 04:45:00 PM,184.811,,
485,03/21/19 05:00:00 PM,81.621,,
486,03/21/19 05:15:00 PM,22.775,,
487,03/21/19 05:30:00 PM,83.221,,
488,03/21/19 05:45:00 PM,26.031,,
489,03/21/19 06:00:00 PM,61.054,,
490,03/21/19 06:15:00 PM,44.742,,
491,03/21/19 06:30:00 PM,86.459,,
492,03/21/19 06:45:00 PM,59.164,,
493,03/21/19 07:00:00 PM,154.666,,
494,03/21/19 07:15:00 PM,57.096,,
495,03/21/19 07:30:00 PM,205.799,,
496,03/21/19 07:45:00 PM,57.268,,
497,03/21/19 08:00:00 PM,35.758,,
498,03/21/19 08:15:00 PM,22.330,,
499,03/21/19 08:30:00 PM,199.501,,
500,03/21/19 08:45:00 PM,58.820,,
501,03/21/19 09:00:00 PM,86.641,,
502,03/21/19 09:15:00 PM,-21.077,,
503,03/21/19 09:30:00 PM,167.130,,
504,03/21/19 09:45:00 PM,184.811,,
505,03/21/19 10:00:00 PM,117.498,,
506,03/21/19 10:15:00 PM,23.655,,
507,03/21/19 10:30:00 PM,25.390,,
508,03/21/19 10:45:00 PM,56.750,,
509,03/21/19 11:00:00 PM,86.641,,
510,03/21/19 11:15:00 PM,84.115,,
511,03/21/19 11:30:00 PM,163.575,,
512,03/21/19 11:45:00 PM,103.307,,
513,03/22/19 12:00:00 AM,101.887,,
514,03/22/19 12:15:00 AM,23.216,,
515,03/22/19 12:30:00 AM,72.028,,
516,03/22/19 12:45:00 AM,64.481,,
517,03/22/19 01:00:00 AM,86.459,,
518,03/22/19 01:15:00 AM,217.571,,
519,03/22/19 01:30:00 AM,158.976,,
520,03/22/19 01:45:00 AM,4.197,,
521,03/22/19 02:00:00 AM,73.234,,
522,03/22/19 02:15:00 AM,22.995,,
523,03/22/19 02:30:00 AM,199.501,,
524,03/22/19 02:45:00 AM,56.923,,
525,03/22/19 03:00:00 AM,86.459,,
526,03/22/19 03:15:00 AM,141.850,,
527,03/22/19 03:30:00 AM,152.425,,
528,03/22/19 03:45:00 AM,57.268,,
529,03/22/19 04:00:00 AM,104.333,,
530,03/22/19 04:15:00 AM,23.436,,
531,03/22/19 04:30:00 AM,122.572,,
532,03/22/19 04:45:00 AM,58.647,,
533,03/22/19 05:00:00 AM,86.459,,
534,03/22/19 05:15:00 AM,36.145,,
535,03/22/19 05:30:00 AM,151.693,,
536,03/22/19 05:45:00 AM,57.096,,
537,03/22/19 06:00:00 AM,162.716,,
538,03/22/19 06:15:00 AM,103.104,,
539,03/22/19 06:30:00 AM,139.048,,
540,03/22/19 06:45:00 AM,57.096,,
541,03/22/19 07:00:00 AM,132.323,,
542,03/22/19 07:15:00 AM,103.104,,
543,03/22/19 07:30:00 AM,176.418,,
544,03/22/19 07:45:00 AM,102.900,,
545,03/22/19 08:00:00 AM,143.780,,
546,03/22/19 08:15:00 AM,-40.396,,
547,03/22/19 08:30:00 AM,114.492,,
548,03/22/19 08:45:00 AM,-3.921,,
549,03/22/19 09:00:00 AM,86.097,,
550,03/22/19 09:15:00 AM,70.824,,
551,03/22/19 09:30:00 AM,86.097,,
552,03/22/19 09:45:00 AM,101.282,,
553,03/22/19 10:00:00 AM,86.097,,
554,03/22/19 10:15:00 AM,55.884,,
555,03/22/19 10:30:00 AM,86.097,,
556,03/22/19 10:45:00 AM,109.612,,
557,03/22/19 11:00:00 AM,86.097,,
558,03/22/19 11:15:00 AM,30.198,,
559,03/22/19 11:30:00 AM,86.097,,
560,03/22/19 11:45:00 AM,30.403,,
561,03/22/19 12:00:00 PM,85.374,,
562,03/22/19 12:15:00 PM,117.028,,
563,03/22/19 12:30:00 PM,42.548,,
564,03/22/19 12:45:00 PM,157.773,,
565,03/22/19 01:00:00 PM,-33.309,,
566,03/22/19 01:15:00 PM,73.407,,
567,03/22/19 01:30:00 PM,99.291,,
568,03/22/19 01:45:00 PM,4.197,,
569,03/22/19 02:00:00 PM,181.323,,
570,03/22/19 02:15:00 PM,273.936,,
571,03/22/19 02:30:00 PM,113.137,,
572,03/22/19 02:45:00 PM,87.186,,
573,03/22/19 03:00:00 PM,208.332,,
574,03/22/19 03:15:00 PM,71.168,,
575,03/22/19 03:30:00 PM,77.749,,
576,03/22/19 03:45:00 PM,76.876,,
577,03/22/19 04:00:00 PM,229.545,,
578,03/22/19 04:15:00 PM,749.595,,
579,03/22/19 04:30:00 PM,749.595,,
580,03/22/19 04:45:00 PM,749.595,,
581,03/22/19 05:00:00 PM,749.595,,
582,03/22/19 05:15:00 PM,28.139,,
583,03/22/19 05:30:00 PM,-68.516,,
584,03/22/19 05:45:00 PM,52.750,,
585,03/22/19 05:49:32 PM,,0.01,
