"Plot Title: AL"
"#","Date Time, GMT-07:00","Event, inch (LGR S/N: 10592075, SEN S/N: 10592075)","Coupler Attached (LGR S/N: 10592075, SEN S/N: 10592075)","Stopped (LGR S/N: 10592075, SEN S/N: 10592075)","End Of File (LGR S/N: 10592075, SEN S/N: 10592075)"
501,12/03/14 11:12:09 AM,5.00,,,
502,12/03/14 11:16:04 AM,5.01,,,
503,12/03/14 11:18:39 AM,5.02,,,
504,12/03/14 11:20:33 AM,5.03,,,
505,12/03/14 11:21:08 AM,5.04,,,
506,12/03/14 11:21:22 AM,5.05,,,
507,12/03/14 11:21:35 AM,5.06,,,
508,12/03/14 11:21:51 AM,5.07,,,
509,12/03/14 11:22:11 AM,5.08,,,
510,12/03/14 11:22:45 AM,5.09,,,
511,12/03/14 11:23:45 AM,5.10,,,
512,12/03/14 11:24:37 AM,5.11,,,
513,12/03/14 11:26:21 AM,5.12,,,
514,12/03/14 11:26:22 AM,5.13,,,
515,12/03/14 11:28:26 AM,5.14,,,
516,12/03/14 11:28:27 AM,5.15,,,
517,12/03/14 11:33:23 AM,5.16,,,
518,12/03/14 11:33:24 AM,5.17,,,
519,12/03/14 11:35:20 AM,5.18,,,
520,12/03/14 11:35:21 AM,5.19,,,
521,12/03/14 11:37:49 AM,5.20,,,
522,12/03/14 11:41:14 AM,5.21,,,
523,12/03/14 11:41:15 AM,5.22,,,
524,12/03/14 11:41:59 AM,5.23,,,
525,12/03/14 11:42:58 AM,5.24,,,
526,12/03/14 11:48:55 AM,5.25,,,
527,12/03/14 11:54:43 AM,5.26,,,
528,12/03/14 11:59:59 AM,5.27,,,
529,12/03/14 12:10:36 PM,5.28,,,
530,12/03/14 12:10:37 PM,5.29,,,
531,12/03/14 12:13:15 PM,5.30,,,
532,12/03/14 12:14:50 PM,5.31,,,
533,12/03/14 12:15:06 PM,5.32,,,
534,12/03/14 12:15:34 PM,5.33,,,
535,12/03/14 12:15:35 PM,5.34,,,
536,12/03/14 12:16:23 PM,5.35,,,
537,12/03/14 12:16:54 PM,5.36,,,
538,12/03/14 12:17:31 PM,5.37,,,
539,12/03/14 12:17:32 PM,5.38,,,
540,12/03/14 12:18:33 PM,5.39,,,
541,12/03/14 12:18:45 PM,5.40,,,
542,12/03/14 12:18:46 PM,5.41,,,
543,12/03/14 12:18:57 PM,5.42,,,
544,12/03/14 12:19:19 PM,5.43,,,
545,12/03/14 12:20:03 PM,5.44,,,
