"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
233,03/01/18 12:39:59 PM,,1.83,,,,,
234,03/01/18 01:13:08 PM,,1.84,,,,,
235,03/01/18 01:32:31 PM,,1.85,,,,,
236,03/01/18 01:36:40 PM,,1.86,,,,,
237,03/01/18 01:39:30 PM,53.100,,,,,,
238,03/01/18 02:39:30 PM,51.523,,,,,,
239,03/01/18 03:39:30 PM,51.699,,,,,,
240,03/01/18 04:39:30 PM,52.401,,,,,,
241,03/01/18 05:39:30 PM,47.982,,,,,,
242,03/01/18 06:39:30 PM,46.008,,,,,,
243,03/01/18 07:39:30 PM,45.828,,,,,,
244,03/01/18 08:39:30 PM,47.624,,,,,,
245,03/01/18 09:39:30 PM,47.624,,,,,,
246,03/01/18 10:02:15 PM,,1.87,,,,,
247,03/01/18 10:02:53 PM,,1.88,,,,,
248,03/01/18 10:03:35 PM,,1.89,,,,,
249,03/01/18 10:04:19 PM,,1.90,,,,,
250,03/01/18 10:05:13 PM,,1.91,,,,,
251,03/01/18 10:07:48 PM,,1.92,,,,,
252,03/01/18 10:39:30 PM,46.369,,,,,,
253,03/01/18 10:50:58 PM,,1.93,,,,,
254,03/01/18 10:55:09 PM,,1.94,,,,,
255,03/01/18 11:00:53 PM,,1.95,,,,,
256,03/01/18 11:16:55 PM,,1.96,,,,,
257,03/01/18 11:37:38 PM,,1.97,,,,,
258,03/01/18 11:39:30 PM,46.188,,,,,,
259,03/01/18 11:55:07 PM,,1.98,,,,,
260,03/01/18 11:56:13 PM,,1.99,,,,,
261,03/01/18 11:57:29 PM,,2.00,,,,,
