"Plot Title: UNF"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
444,03/24/18 09:36:37 AM,,3.48,,,,
445,03/24/18 09:49:37 AM,,3.49,,,,
446,03/24/18 10:01:17 AM,,3.50,,,,
447,03/24/18 10:04:48 AM,49.404,,,,,
448,03/24/18 10:10:28 AM,,3.51,,,,
449,03/24/18 11:04:48 AM,51.874,,,,,
450,03/24/18 12:04:48 PM,55.017,,,,,
451,03/24/18 01:04:48 PM,77.574,,,,,
452,03/24/18 02:04:48 PM,60.024,,,,,
453,03/24/18 03:04:48 PM,55.711,,,,,
454,03/24/18 04:04:48 PM,58.993,,,,,
455,03/24/18 05:04:48 PM,53.798,,,,,
456,03/24/18 06:04:48 PM,50.995,,,,,
457,03/24/18 07:04:48 PM,46.728,,,,,
458,03/24/18 08:04:48 PM,43.466,,,,,
459,03/24/18 09:04:48 PM,43.099,,,,,
460,03/24/18 10:04:48 PM,43.466,,,,,
461,03/24/18 10:24:08 PM,,3.52,,,,
462,03/24/18 10:24:48 PM,,3.53,,,,
463,03/24/18 10:25:19 PM,,3.54,,,,
464,03/24/18 10:25:49 PM,,3.55,,,,
465,03/24/18 10:26:11 PM,,3.56,,,,
466,03/24/18 10:26:37 PM,,3.57,,,,
467,03/24/18 10:27:02 PM,,3.58,,,,
468,03/24/18 10:27:52 PM,,3.59,,,,
469,03/24/18 10:29:29 PM,,3.60,,,,
470,03/24/18 10:32:44 PM,,3.61,,,,
471,03/24/18 10:35:01 PM,,3.62,,,,
472,03/24/18 10:38:11 PM,,3.63,,,,
473,03/24/18 10:50:55 PM,,3.64,,,,
474,03/24/18 11:04:48 PM,42.179,,,,,
475,03/24/18 11:15:20 PM,,3.65,,,,
476,03/24/18 11:18:10 PM,,3.66,,,,
477,03/24/18 11:21:21 PM,,3.67,,,,
478,03/24/18 11:23:50 PM,,3.68,,,,
479,03/24/18 11:28:22 PM,,3.69,,,,
480,03/25/18 12:04:48 AM,42.732,,,,,
481,03/25/18 12:21:04 AM,,3.70,,,,
482,03/25/18 12:32:48 AM,,3.71,,,,
483,03/25/18 01:04:48 AM,42.732,,,,,
484,03/25/18 02:04:48 AM,40.881,,,,,
485,03/25/18 03:04:48 AM,39.947,,,,,
486,03/25/18 04:04:48 AM,39.196,,,,,
487,03/25/18 05:04:48 AM,38.629,,,,,
488,03/25/18 06:04:48 AM,38.061,,,,,
489,03/25/18 07:04:48 AM,37.870,,,,,
490,03/25/18 08:04:48 AM,39.007,,,,,
491,03/25/18 08:33:16 AM,,3.72,,,,
492,03/25/18 08:40:24 AM,,3.73,,,,
493,03/25/18 08:44:02 AM,,3.74,,,,
494,03/25/18 08:54:45 AM,,3.75,,,,
495,03/25/18 09:04:48 AM,42.363,,,,,
496,03/25/18 10:04:48 AM,53.623,,,,,
497,03/25/18 11:04:48 AM,50.466,,,,,
498,03/25/18 12:04:48 PM,52.050,,,,,
499,03/25/18 01:04:48 PM,72.372,,,,,
500,03/25/18 02:04:48 PM,59.164,,,,,
501,03/25/18 03:04:48 PM,55.884,,,,,
502,03/25/18 04:04:48 PM,58.303,,,,,
503,03/25/18 05:04:48 PM,53.100,,,,,
504,03/25/18 06:04:48 PM,49.228,,,,,
