"Plot Title: UQC"
"#","Date Time, GMT-08:00","Event, inches (LGR S/N: 10592087, SEN S/N: 10592087)","Coupler Attached (LGR S/N: 10592087, SEN S/N: 10592087)","Stopped (LGR S/N: 10592087, SEN S/N: 10592087)","End Of File (LGR S/N: 10592087, SEN S/N: 10592087)"
292,12/02/14 11:44:56 AM,2.91,,,
293,12/02/14 11:44:57 AM,2.92,,,
294,12/02/14 11:47:31 AM,2.93,,,
295,12/02/14 11:48:12 AM,2.94,,,
296,12/02/14 11:49:07 AM,2.95,,,
297,12/02/14 11:49:47 AM,2.96,,,
298,12/02/14 11:50:28 AM,2.97,,,
299,12/02/14 11:51:18 AM,2.98,,,
300,12/02/14 11:52:10 AM,2.99,,,
301,12/02/14 11:52:56 AM,3.00,,,
302,12/02/14 11:54:20 AM,3.01,,,
303,12/02/14 11:56:38 AM,3.02,,,
304,12/02/14 11:58:04 AM,3.03,,,
305,12/02/14 11:59:26 AM,3.04,,,
306,12/02/14 12:00:43 PM,3.05,,,
307,12/02/14 12:03:30 PM,3.06,,,
308,12/02/14 12:05:52 PM,3.07,,,
309,12/02/14 12:12:49 PM,3.08,,,
310,12/02/14 02:56:16 PM,3.09,,,
311,12/02/14 03:04:59 PM,3.10,,,
312,12/02/14 03:09:06 PM,3.11,,,
313,12/02/14 03:13:32 PM,3.12,,,
314,12/02/14 03:20:04 PM,3.13,,,
315,12/02/14 03:32:26 PM,3.14,,,
316,12/02/14 03:47:29 PM,3.15,,,
317,12/02/14 03:55:50 PM,3.16,,,
318,12/02/14 04:09:45 PM,3.17,,,
319,12/02/14 10:13:07 PM,3.18,,,
320,12/02/14 10:21:23 PM,3.19,,,
321,12/02/14 10:45:10 PM,3.20,,,
322,12/02/14 10:52:24 PM,3.21,,,
323,12/02/14 10:58:38 PM,3.22,,,
324,12/02/14 11:02:29 PM,3.23,,,
325,12/02/14 11:04:56 PM,3.24,,,
326,12/02/14 11:07:53 PM,3.25,,,
327,12/02/14 11:11:43 PM,3.26,,,
328,12/02/14 11:14:55 PM,3.27,,,
329,12/02/14 11:17:21 PM,3.28,,,
330,12/02/14 11:19:40 PM,3.29,,,
331,12/02/14 11:23:03 PM,3.30,,,
332,12/02/14 11:27:00 PM,3.31,,,
333,12/02/14 11:29:31 PM,3.32,,,
334,12/02/14 11:32:05 PM,3.33,,,
