"Plot Title: UNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668993, SEN S/N: 9668993)","Event, inches (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Attached (LGR S/N: 9668993, SEN S/N: 9668993)","Coupler Detached (LGR S/N: 9668993, SEN S/N: 9668993)","Host Connected (LGR S/N: 9668993, SEN S/N: 9668993)","Stopped (LGR S/N: 9668993, SEN S/N: 9668993)","End Of File (LGR S/N: 9668993, SEN S/N: 9668993)"
187,03/04/19 07:00:00 PM,48.160,,,,,,
188,03/04/19 07:30:00 PM,47.624,,,,,,
189,03/04/19 08:00:00 PM,47.088,,,,,,
190,03/04/19 08:30:00 PM,46.728,,,,,,
191,03/04/19 09:00:00 PM,46.728,,,,,,
192,03/04/19 09:30:00 PM,46.548,,,,,,
193,03/04/19 10:00:00 PM,46.369,,,,,,
194,03/04/19 10:30:00 PM,46.548,,,,,,
195,03/04/19 11:00:00 PM,46.548,,,,,,
196,03/04/19 11:30:00 PM,46.908,,,,,,
197,03/05/19 12:00:00 AM,46.908,,,,,,
198,03/05/19 12:30:00 AM,46.908,,,,,,
199,03/05/19 01:00:00 AM,46.908,,,,,,
200,03/05/19 01:30:00 AM,46.908,,,,,,
201,03/05/19 02:00:00 AM,46.908,,,,,,
202,03/05/19 02:30:00 AM,46.908,,,,,,
203,03/05/19 03:00:00 AM,47.088,,,,,,
204,03/05/19 03:30:00 AM,47.088,,,,,,
205,03/05/19 04:00:00 AM,47.446,,,,,,
206,03/05/19 04:30:00 AM,47.446,,,,,,
207,03/05/19 05:00:00 AM,47.446,,,,,,
208,03/05/19 05:30:00 AM,47.446,,,,,,
209,03/05/19 05:55:02 AM,,0.77,,,,,
210,03/05/19 06:00:00 AM,47.446,,,,,,
211,03/05/19 06:30:00 AM,47.446,,,,,,
212,03/05/19 06:39:18 AM,,0.78,,,,,
213,03/05/19 07:00:00 AM,47.088,,,,,,
214,03/05/19 07:02:49 AM,,0.79,,,,,
215,03/05/19 07:30:00 AM,47.088,,,,,,
216,03/05/19 07:30:52 AM,,0.80,,,,,
217,03/05/19 08:00:00 AM,47.982,,,,,,
218,03/05/19 08:07:08 AM,,0.81,,,,,
219,03/05/19 08:30:00 AM,48.695,,,,,,
220,03/05/19 09:00:00 AM,49.228,,,,,,
221,03/05/19 09:30:00 AM,49.050,,,,,,
222,03/05/19 10:00:00 AM,49.050,,,,,,
223,03/05/19 10:02:35 AM,,0.82,,,,,
224,03/05/19 10:17:09 AM,,0.83,,,,,
225,03/05/19 10:29:11 AM,,0.84,,,,,
226,03/05/19 10:30:00 AM,49.228,,,,,,
227,03/05/19 10:36:39 AM,,0.85,,,,,
228,03/05/19 10:41:21 AM,,0.86,,,,,
229,03/05/19 10:47:36 AM,,0.87,,,,,
230,03/05/19 10:53:04 AM,,0.88,,,,,
231,03/05/19 10:58:49 AM,,0.89,,,,,
232,03/05/19 11:00:00 AM,49.582,,,,,,
233,03/05/19 11:02:39 AM,,0.90,,,,,
234,03/05/19 11:08:10 AM,,0.91,,,,,
235,03/05/19 11:12:18 AM,,0.92,,,,,
236,03/05/19 11:16:50 AM,,0.93,,,,,
237,03/05/19 11:21:50 AM,,0.94,,,,,
238,03/05/19 11:25:34 AM,,0.95,,,,,
239,03/05/19 11:30:00 AM,49.759,,,,,,
240,03/05/19 11:30:22 AM,,0.96,,,,,
241,03/05/19 11:38:29 AM,,0.97,,,,,
242,03/05/19 11:42:25 AM,,0.98,,,,,
243,03/05/19 11:51:59 AM,,0.99,,,,,
244,03/05/19 12:00:00 PM,49.759,,,,,,
245,03/05/19 12:09:59 PM,,1.00,,,,,
246,03/05/19 12:30:00 PM,51.346,,,,,,
247,03/05/19 01:00:00 PM,50.995,,,,,,
248,03/05/19 01:30:00 PM,51.172,,,,,,
249,03/05/19 02:00:00 PM,51.523,,,,,,
250,03/05/19 02:30:00 PM,51.699,,,,,,
251,03/05/19 03:00:00 PM,51.523,,,,,,
252,03/05/19 03:30:00 PM,52.050,,,,,,
253,03/05/19 04:00:00 PM,53.449,,,,,,
254,03/05/19 04:30:00 PM,53.449,,,,,,
255,03/05/19 05:00:00 PM,52.225,,,,,,
256,03/05/19 05:30:00 PM,51.523,,,,,,
257,03/05/19 06:00:00 PM,51.172,,,,,,
258,03/05/19 06:30:00 PM,51.346,,,,,,
259,03/05/19 06:58:24 PM,,1.01,,,,,
260,03/05/19 07:00:00 PM,51.523,,,,,,
261,03/05/19 07:00:43 PM,,1.02,,,,,
262,03/05/19 07:01:42 PM,,1.03,,,,,
263,03/05/19 07:30:00 PM,51.523,,,,,,
264,03/05/19 07:36:47 PM,,1.04,,,,,
265,03/05/19 07:40:44 PM,,1.05,,,,,
266,03/05/19 07:41:15 PM,,1.06,,,,,
267,03/05/19 07:42:13 PM,,1.07,,,,,
268,03/05/19 08:00:00 PM,51.699,,,,,,
269,03/05/19 08:01:20 PM,,1.08,,,,,
270,03/05/19 08:30:00 PM,52.050,,,,,,
271,03/05/19 09:00:00 PM,51.874,,,,,,
272,03/05/19 09:09:39 PM,,1.09,,,,,
273,03/05/19 09:10:22 PM,,1.10,,,,,
274,03/05/19 09:20:38 PM,,1.11,,,,,
275,03/05/19 09:21:34 PM,,1.12,,,,,
276,03/05/19 09:22:50 PM,,1.13,,,,,
277,03/05/19 09:30:00 PM,51.874,,,,,,
278,03/05/19 10:00:00 PM,51.874,,,,,,
279,03/05/19 10:30:00 PM,51.699,,,,,,
280,03/05/19 11:00:00 PM,51.346,,,,,,
281,03/05/19 11:30:00 PM,51.346,,,,,,
282,03/06/19 12:00:00 AM,51.172,,,,,,
