Serial Number:      10024     --     Series: Event (rain bucket tip)			

Date Time	Event (Events)	Tip Value	Cumulative
12/17/2010 16:15:05	0.75	0.01	3.19
12/17/2010 16:17:39	0.76	0.01	3.2
12/17/2010 16:21:01	0.77	0.01	3.21
12/17/2010 16:24:24	0.78	0.01	3.22
12/17/2010 16:27:29	0.79	0.01	3.23
12/17/2010 16:31:07	0.8	0.01	3.24
12/17/2010 16:35:32	0.81	0.01	3.25
12/17/2010 16:39:58	0.82	0.01	3.26
12/17/2010 16:43:47	0.83	0.01	3.27
12/17/2010 16:46:48	0.84	0.01	3.28
12/17/2010 16:52:33	0.85	0.01	3.29
12/17/2010 16:57:53	0.86	0.01	3.3
12/17/2010 17:03:32	0.87	0.01	3.31
12/17/2010 17:06:57	0.88	0.01	3.32
12/17/2010 17:09:07	0.89	0.01	3.33
12/17/2010 17:11:04	0.9	0.01	3.34
12/17/2010 17:12:59	0.91	0.01	3.35
12/17/2010 17:15:39	0.92	0.01	3.36
12/17/2010 17:19:13	0.93	0.01	3.37
12/17/2010 17:22:09	0.94	0.01	3.38
12/17/2010 17:24:52	0.95	0.01	3.39
12/17/2010 17:26:27	0.96	0.01	3.4
12/17/2010 17:28:42	0.97	0.01	3.41
12/17/2010 17:31:49	0.98	0.01	3.42
12/17/2010 17:35:59	0.99	0.01	3.43
12/17/2010 17:40:37	1	0.01	3.44
12/17/2010 17:47:16	1.01	0.01	3.45
12/17/2010 17:57:23	1.02	0.01	3.46
12/17/2010 18:04:26	1.03	0.01	3.47
12/17/2010 18:10:00	1.04	0.01	3.48
12/17/2010 18:20:02	1.05	0.01	3.49
12/17/2010 18:27:25	1.06	0.01	3.5
12/17/2010 18:34:53	1.07	0.01	3.51
12/17/2010 18:40:08	1.08	0.01	3.52
12/17/2010 18:47:51	1.09	0.01	3.53
12/17/2010 18:53:18	1.1	0.01	3.54
12/17/2010 19:03:38	1.11	0.01	3.55
12/17/2010 19:27:37	1.12	0.01	3.56
12/17/2010 20:08:10	1.13	0.01	3.57
12/17/2010 20:14:24	1.14	0.01	3.58
12/17/2010 20:27:18	1.15	0.01	3.59
12/17/2010 20:37:48	1.16	0.01	3.6
12/17/2010 20:46:17	1.17	0.01	3.61
12/17/2010 21:12:25	1.18	0.01	3.62
12/17/2010 22:24:55	1.19	0.01	3.63
12/17/2010 22:32:27	1.2	0.01	3.64
12/17/2010 22:45:31	1.21	0.01	3.65
12/17/2010 22:53:23	1.22	0.01	3.66
12/17/2010 23:00:18	1.23	0.01	3.67
12/17/2010 23:03:59	1.24	0.01	3.68
12/17/2010 23:05:45	1.25	0.01	3.69
12/17/2010 23:09:16	1.26	0.01	3.7
12/17/2010 23:17:33	1.27	0.01	3.71
12/17/2010 23:20:21	1.28	0.01	3.72
12/17/2010 23:22:39	1.29	0.01	3.73
12/17/2010 23:28:46	1.3	0.01	3.74
12/17/2010 23:41:13	1.31	0.01	3.75
12/17/2010 23:50:21	1.32	0.01	3.76
12/17/2010 23:54:47	1.33	0.01	3.77
12/17/2010 23:56:40	1.34	0.01	3.78
12/17/2010 23:57:08	1.35	0.01	3.79
12/17/2010 23:57:32	1.36	0.01	3.8
12/17/2010 23:58:08	1.37	0.01	3.81
12/17/2010 23:58:45	1.38	0.01	3.82
12/17/2010 23:59:52	1.39	0.01	3.83
12/18/2010 0:01:13	1.4	0.01	3.84
12/18/2010 0:04:49	1.41	0.01	3.85
12/18/2010 0:09:27	1.42	0.01	3.86
12/18/2010 0:19:01	1.43	0.01	3.87
12/18/2010 0:23:25	1.44	0.01	3.88
12/18/2010 0:26:08	1.45	0.01	3.89
12/18/2010 0:30:22	1.46	0.01	3.9
12/18/2010 0:35:01	1.47	0.01	3.91
12/18/2010 0:37:51	1.48	0.01	3.92
12/18/2010 0:40:33	1.49	0.01	3.93
12/18/2010 0:44:49	1.5	0.01	3.94
12/18/2010 0:50:17	1.51	0.01	3.95
12/18/2010 0:53:17	1.52	0.01	3.96
12/18/2010 1:14:57	1.53	0.01	3.97
12/18/2010 2:00:12	1.54	0.01	3.98
12/18/2010 2:20:50	1.55	0.01	3.99
12/18/2010 2:29:46	1.56	0.01	4
12/18/2010 2:46:23	1.57	0.01	4.01
12/18/2010 3:22:26	1.58	0.01	4.02
12/18/2010 3:25:36	1.59	0.01	4.03
12/18/2010 4:05:41	1.6	0.01	4.04
12/18/2010 4:16:18	1.61	0.01	4.05
12/18/2010 4:25:19	1.62	0.01	4.06
12/18/2010 4:27:32	1.63	0.01	4.07
