Date Time	1/100 INCHES OF RAIN
01/11/01 18:12:22.0	740
01/11/01 18:21:18.0	741
01/11/01 18:28:35.0	742
01/11/01 18:53:02.0	743
01/11/01 18:54:37.5	744
01/11/01 19:06:26.0	745
01/11/01 19:48:39.0	746
01/11/01 19:52:26.5	747
01/11/01 19:54:37.0	748
01/11/01 19:57:08.5	749
01/11/01 20:01:27.5	750
01/11/01 21:11:39.5	751
01/11/01 21:15:49.5	752
01/11/01 21:19:00.5	753
01/11/01 21:21:55.0	754
01/11/01 21:24:24.0	755
01/11/01 21:28:35.5	756
01/11/01 21:33:51.5	757
01/11/01 21:37:43.5	758
01/11/01 21:40:54.5	759
01/11/01 21:45:29.0	760
01/11/01 21:48:34.5	761
01/11/01 21:50:08.0	762
01/11/01 21:52:02.5	763
01/11/01 21:54:36.5	764
01/11/01 21:59:04.5	765
01/11/01 22:03:22.5	766
01/11/01 22:33:45.0	767
01/11/01 22:57:25.0	768
01/11/01 23:06:53.0	769
01/21/01 13:40:50.5	769	End
